wait,S,0,
wait,S,0,
adda,pin,9,
wait,M,0,
adda,pin,6,
wait,M,0,
adda,pin,5,
wait,M,0,
adda,pin,2,tutorial_time
wait,M,0,
adda,pin,7,
wait,S,0,
adda,pin,12,2honkuruze
wait,M,0,
adda,pin,6,4renkaisi
wait,S,0,
wait,S,0,
adda,pin,7,
wait,S,0,
wait,S,0,
adda,pin,2,
wait,S,0,
wait,S,0,
adda,pin,12,4renisogasi
adda,pin,5,
wait,M,0,tap_tutorial
adda,tap,2,tap
wait,M,0,
adda,tap,5,
wait,S,0,
wait,S,0,
adda,tap,11,tap2
wait,M,0,
adda,pin,3,
wait,S,0,
adda,tap,5,pintap
wait,M,0,
adda,pin,1, 
wait,S,0,
adda,tap,8,pintap
wait,M,0,
adda,pin,7,
wait,S,0,
adda,tap,11,
adda,tap,5,
