adda,pin,1,,
adda,pin,7,,
wait,S,0,,
adda,pin,12,,
adda,pin,5,bibiraserudake,
wait,M,0,,
adda,pin,4,,
adda,pin,2,,
wait,S,0,,
wait,s,0,,
adda,pin,1,,
adda,pin,6,,
wait,S,0,,
wait,S,0,,
adda,tap,8,,
adda,pin,9,,
wait,S,0,,
wait,S,0,,
adda,pin,7,,
adda,pin,11,,
wait,S,0,,
wait,s,0,,
adda,pin,9,,
adda,tap,11,,
adda,pin,10,,
wait,M,0,,
adda,tap,2,,
wait,s,0,,
wait,s,0,,
adda,pin,2,,
wait,s,0,,
adda,pin,11,3byou,
wait,s,0,,
adda,pin,8,tapiokatoottatokorokarahassya,
wait,m,0,,
adda,pin,12,,
adda,pin,6,,
adda,tap,2,,
wait,M,0,,
adda,pin,1,,
wait,s,0,,
adda,pin,4,,
wait,s,0,,
adda,tap,2,,
adda,pin,1,,
wait,s,0,,
adda,tap,2,,
adda,tap,8,pintapjikannsa,
wait,m,0,,
wait,M,0,,
adda,tap,5,,
adda,pin,1,,
adda,pin,7,,
wait,s,0,,
wait,m,0,,
adda,tap,2,,
adda,tap,5,,
adda,tap,8,,
adda,tap,11,,
adda,pin,2,,
adda,pin,5,,
adda,pin,8,,
adda,pin,11,tapiokapin4kasyo,
wait,M,0,,
adda,pin,2,,
adda,tap,5,,
wait,S,0,,
adda,pin,9,,
wait,S,0,,
wait,s,0,,
adda,pin,11,,
adda,pin,3,,
wait,m,0,,
adda,pin,1,,
adda,pin,8,,
adda,pin,4,,3byou
adda,pin,11,annti1,
