adda,pin,2,
wait,M,0,
adda,tap,8,pin tap
wait,S,0,
adda,pin,1,
adda,pin,7,pin2
wait,M,0,
adda,tap,2,
adda,tap,8,tap2
wait,S,0,
adda,pin,6,
wait,L,0,
adda,tap,2,pintap
wait,S,0,
adda,pin,11,
wait,S,0,
adda,pin,1,
wait,S,0,
adda,pin,7,pin3ren
wait,M,0,
adda,tap,5,
wait,S,0,
adda,tap,8,
wait,S,0,
adda,tap,11,
wait,S,0,
adda,tap,2,tap4ren
wait,S,0,
adda,pin,1,
wait,S,0,
adda,pin,6,
wait,S,0,
adda,tap,5,
wait,L,0,
adda,pin,1,
wait,S,0,
adda,pin,7,
adda,pin,9,
wait,L,0,
adda,tap,2,
wait,L,0,
adda,pin,9,
wait,S,0,
adda,pin,1,
wait,L,0,
adda,tap,8,
wait,S,0,
adds,tap,5,
