adda,pin,11,
wait,M,0,
adda,tap,8,pin tap
wait,M,0,
adda,pin,10,
adda,pin,4,pin2
wait,M,0,
adda,tap,2,
wait,S,0,
adda,tap,8,tap2
wait,S,0,
adda,pin,11,pin1
wait,M,6,
adda,pin,6,
adda,pin,4,pin2
wait,M,0,
adda,pin,2,
wait,S,0,
adda,pin,5,
adda,pin,6,pin3ren
wait,M,0,
adda,tap,11,
wait,S,0,
adda,pin,3,tappin
wait,M,0,
adda,tap,2,
wait,S,0,
adda,pin,4,
adda,pin,6,tappin2
wait,M,0,
adda,tap,5,
wait,S,0,
adda,pin,2,
adda,pin,9,tapppin2
wait,M,0,
adda,tap,8,
wait,S,0,
adda,pin,10,
adda,pin,3,
adda,pin,8,tappin3
wait,M,0,
adda,pin,12,
adda,pin,5,
wait,M,0,
adda,tap,2,
wait,S,0,
adda,pin,7,
adda,pin,6,
